video_id,start_time,timestamp,text,link
r3hEuRT2d4A,0,00:00:00 --> 00:00:03,наши предки во все времена оказывались в,https://youtu.be/r3hEuRT2d4A?t=0
r3hEuRT2d4A,2,00:00:02 --> 00:00:06,ряду вот этих вот как бы полу,https://youtu.be/r3hEuRT2d4A?t=2
r3hEuRT2d4A,3,00:00:03 --> 00:00:08,неудачников то есть мы все время что-то,https://youtu.be/r3hEuRT2d4A?t=3
r3hEuRT2d4A,6,00:00:06 --> 00:00:10,не догоняли ну если вы своим языком по,https://youtu.be/r3hEuRT2d4A?t=6
r3hEuRT2d4A,8,00:00:08 --> 00:00:12,тычьте себя наверх вы все-таки не мозги,https://youtu.be/r3hEuRT2d4A?t=8
r3hEuRT2d4A,10,00:00:10 --> 00:00:13,будете облизывать они оба и стать,https://youtu.be/r3hEuRT2d4A?t=10
r3hEuRT2d4A,12,00:00:12 --> 00:00:15,каким-то мало-мальски разумным,https://youtu.be/r3hEuRT2d4A?t=12
r3hEuRT2d4A,13,00:00:13 --> 00:00:17,продвинутому крутым на такой основе,https://youtu.be/r3hEuRT2d4A?t=13
r3hEuRT2d4A,15,00:00:15 --> 00:00:19,почти нереально интеллектуалом какой,https://youtu.be/r3hEuRT2d4A?t=15
r3hEuRT2d4A,17,00:00:17 --> 00:00:21,нить и конь не станет состоянии дуба,https://youtu.be/r3hEuRT2d4A?t=17
r3hEuRT2d4A,19,00:00:19 --> 00:00:23,существовать можно и даже столетиями в,https://youtu.be/r3hEuRT2d4A?t=19
r3hEuRT2d4A,21,00:00:21 --> 00:00:25,принципе но интеллекта развить,https://youtu.be/r3hEuRT2d4A?t=21
r3hEuRT2d4A,23,00:00:23 --> 00:00:27,проблематично алмаз предков есть,https://youtu.be/r3hEuRT2d4A?t=23
r3hEuRT2d4A,25,00:00:25 --> 00:00:29,внутренний стержень твоя опора у пусть,https://youtu.be/r3hEuRT2d4A?t=25
r3hEuRT2d4A,27,00:00:27 --> 00:00:31,на первых порах головного мозга еще не,https://youtu.be/r3hEuRT2d4A?t=27
r3hEuRT2d4A,29,00:00:29 --> 00:00:33,было но это наживное потом добавилась,https://youtu.be/r3hEuRT2d4A?t=29
r3hEuRT2d4A,31,00:00:31 --> 00:00:35,нужно соображать мы активируем мозге,https://youtu.be/r3hEuRT2d4A?t=31
r3hEuRT2d4A,33,00:00:33 --> 00:00:36,который правда нет и вот так мы,https://youtu.be/r3hEuRT2d4A?t=33
r3hEuRT2d4A,35,00:00:35 --> 00:00:39,докатились до нынешнего состояния,https://youtu.be/r3hEuRT2d4A?t=35
r3hEuRT2d4A,36,00:00:36 --> 00:00:39,теперь мы вершина горы,https://youtu.be/r3hEuRT2d4A?t=36
r3hEuRT2d4A,47,00:00:47 --> 00:00:51,[музыка],https://youtu.be/r3hEuRT2d4A?t=47
r3hEuRT2d4A,48,00:00:48 --> 00:00:54,итак снова здравствуйте с вами программа,https://youtu.be/r3hEuRT2d4A?t=48
r3hEuRT2d4A,51,00:00:51 --> 00:00:56,дробышевский человек разумный ее ведущий,https://youtu.be/r3hEuRT2d4A?t=51
r3hEuRT2d4A,54,00:00:54 --> 00:00:58,дробышевский по некоторым признакам,https://youtu.be/r3hEuRT2d4A?t=54
r3hEuRT2d4A,56,00:00:56 --> 00:01:00,вроде бы немножко разумной,https://youtu.be/r3hEuRT2d4A?t=56
r3hEuRT2d4A,58,00:00:58 --> 00:01:03,подписываетесь на наш канал между прочим,https://youtu.be/r3hEuRT2d4A?t=58
r3hEuRT2d4A,60,00:01:00 --> 00:01:06,мало ли вдруг у еще не подписаны и тогда,https://youtu.be/r3hEuRT2d4A?t=60
r3hEuRT2d4A,63,00:01:03 --> 00:01:08,вы узнаете а красавцев и что еще наших,https://youtu.be/r3hEuRT2d4A?t=63
r3hEuRT2d4A,66,00:01:06 --> 00:01:11,предков ну наши предки само собой были,https://youtu.be/r3hEuRT2d4A?t=66
r3hEuRT2d4A,68,00:01:08 --> 00:01:14,красавцами но вокруг них или всякие,https://youtu.be/r3hEuRT2d4A?t=68
r3hEuRT2d4A,71,00:01:11 --> 00:01:16,чудовище иногда это кстати говоря были,https://youtu.be/r3hEuRT2d4A?t=71
r3hEuRT2d4A,74,00:01:14 --> 00:01:18,не такие уж прям и чудовищные чудовища и,https://youtu.be/r3hEuRT2d4A?t=74
r3hEuRT2d4A,76,00:01:16 --> 00:01:21,некоторые с виду были вроде даже ничего,https://youtu.be/r3hEuRT2d4A?t=76
r3hEuRT2d4A,78,00:01:18 --> 00:01:24,но с эволюционной точки зрения с того,https://youtu.be/r3hEuRT2d4A?t=78
r3hEuRT2d4A,81,00:01:21 --> 00:01:26,как они влияли на нас это без сомнения,https://youtu.be/r3hEuRT2d4A?t=81
r3hEuRT2d4A,84,00:01:24 --> 00:01:27,были чудовище и,https://youtu.be/r3hEuRT2d4A?t=84
r3hEuRT2d4A,86,00:01:26 --> 00:01:30,наша,https://youtu.be/r3hEuRT2d4A?t=86
r3hEuRT2d4A,87,00:01:27 --> 00:01:33,сущность человечность сложилась в,https://youtu.be/r3hEuRT2d4A?t=87
r3hEuRT2d4A,90,00:01:30 --> 00:01:36,результате многих видоизменений которые,https://youtu.be/r3hEuRT2d4A?t=90
r3hEuRT2d4A,93,00:01:33 --> 00:01:38,все время были строгая сиюминутные и,https://youtu.be/r3hEuRT2d4A?t=93
r3hEuRT2d4A,96,00:01:36 --> 00:01:40,каждый раз когда наши предки,https://youtu.be/r3hEuRT2d4A?t=96
r3hEuRT2d4A,98,00:01:38 --> 00:01:42,приспосабливались к чему-то другие,https://youtu.be/r3hEuRT2d4A?t=98
r3hEuRT2d4A,100,00:01:40 --> 00:01:44,существа и делали примерно также жили,https://youtu.be/r3hEuRT2d4A?t=100
r3hEuRT2d4A,102,00:01:42 --> 00:01:47,где-то параллельные рядышком и вроде бы,https://youtu.be/r3hEuRT2d4A?t=102
r3hEuRT2d4A,104,00:01:44 --> 00:01:49,примерно тоже самое все происходило но,https://youtu.be/r3hEuRT2d4A?t=104
r3hEuRT2d4A,107,00:01:47 --> 00:01:50,наши предки стали нами такими,https://youtu.be/r3hEuRT2d4A?t=107
r3hEuRT2d4A,109,00:01:49 --> 00:01:55,шипованными разумными и красивыми,https://youtu.be/r3hEuRT2d4A?t=109
r3hEuRT2d4A,110,00:01:50 --> 00:01:59,чудесными а наши противники и конкуренты,https://youtu.be/r3hEuRT2d4A?t=110
r3hEuRT2d4A,115,00:01:55 --> 00:02:00,либо вымерли либо стали кем-то другим ну,https://youtu.be/r3hEuRT2d4A?t=115
r3hEuRT2d4A,119,00:01:59 --> 00:02:04,и некоторые из них до сих пор они все,https://youtu.be/r3hEuRT2d4A?t=119
r3hEuRT2d4A,120,00:02:00 --> 00:02:06,благополучно живут но чтобы стало как-то,https://youtu.be/r3hEuRT2d4A?t=120
r3hEuRT2d4A,124,00:02:04 --> 00:02:09,очевиднее как это могло быть вначале,https://youtu.be/r3hEuRT2d4A?t=124
r3hEuRT2d4A,126,00:02:06 --> 00:02:13,конечно же новость новость про то что в,https://youtu.be/r3hEuRT2d4A?t=126
r3hEuRT2d4A,129,00:02:09 --> 00:02:16,2020 году в перу вывод как подкопа новый,https://youtu.be/r3hEuRT2d4A?t=129
r3hEuRT2d4A,133,00:02:13 --> 00:02:18,примат у кая ли petek ну вроде бы,https://youtu.be/r3hEuRT2d4A?t=133
r3hEuRT2d4A,136,00:02:16 --> 00:02:20,очередная ископаемая обезьяна которых,https://youtu.be/r3hEuRT2d4A?t=136
r3hEuRT2d4A,138,00:02:18 --> 00:02:23,уже там несколько сотен но обезьяны не,https://youtu.be/r3hEuRT2d4A?t=138
r3hEuRT2d4A,140,00:02:20 --> 00:02:26,простая потому что южная америка,https://youtu.be/r3hEuRT2d4A?t=140
r3hEuRT2d4A,143,00:02:23 --> 00:02:28,оперативной америке это вотчина так,https://youtu.be/r3hEuRT2d4A?t=143
r3hEuRT2d4A,146,00:02:26 --> 00:02:30,называемых широко нос обезьян широко нос,https://youtu.be/r3hEuRT2d4A?t=146
r3hEuRT2d4A,148,00:02:28 --> 00:02:33,обезьяны до сейчас например игрунки,https://youtu.be/r3hEuRT2d4A?t=148
r3hEuRT2d4A,150,00:02:30 --> 00:02:38,ревуны cohost и обезьянок паукообразные,https://youtu.be/r3hEuRT2d4A?t=150
r3hEuRT2d4A,153,00:02:33 --> 00:02:40,капуцины ночные обезьяны и такие которые,https://youtu.be/r3hEuRT2d4A?t=153
r3hEuRT2d4A,158,00:02:38 --> 00:02:42,вроде бы похоже на мартышек и многих так,https://youtu.be/r3hEuRT2d4A?t=158
