video_id,start_time,timestamp,text,link
pLPYnS_K89Y,0,00:00:00 --> 00:00:03,Южная Америка знаменитая своей наркотой.,https://youtu.be/pLPYnS_K89Y?t=0
pLPYnS_K89Y,2,00:00:02 --> 00:00:05,"Понятно, что любой наркоман сейчас",https://youtu.be/pLPYnS_K89Y?t=2
pLPYnS_K89Y,3,00:00:03 --> 00:00:07,"скажет: ""Не, вот только там под тяжёлой",https://youtu.be/pLPYnS_K89Y?t=3
pLPYnS_K89Y,5,00:00:05 --> 00:00:09,"наркотой у меня там самый мегаприход"".",https://youtu.be/pLPYnS_K89Y?t=5
pLPYnS_K89Y,7,00:00:07 --> 00:00:12,Она выжирает за ночь до шести бутылок,https://youtu.be/pLPYnS_K89Y?t=7
pLPYnS_K89Y,9,00:00:09 --> 00:00:15,водки в один присестд. Ей не делается,https://youtu.be/pLPYnS_K89Y?t=9
pLPYnS_K89Y,12,00:00:12 --> 00:00:17,"ничего. От чего вымрет человечество, по",https://youtu.be/pLPYnS_K89Y?t=12
pLPYnS_K89Y,15,00:00:15 --> 00:00:19,вашему мнению? Тупость и жадность. Когда,https://youtu.be/pLPYnS_K89Y?t=15
pLPYnS_K89Y,17,00:00:17 --> 00:00:21,"ребёнок рождается, он хищник, он ест",https://youtu.be/pLPYnS_K89Y?t=17
pLPYnS_K89Y,19,00:00:19 --> 00:00:22,маму. И вот он набрался наглости и выпил,https://youtu.be/pLPYnS_K89Y?t=19
pLPYnS_K89Y,21,00:00:21 --> 00:00:24,"чая. И он говорил, что вот 2 дня",https://youtu.be/pLPYnS_K89Y?t=21
pLPYnS_K89Y,22,00:00:22 --> 00:00:26,штырило. Потом надо просто идти вот,https://youtu.be/pLPYnS_K89Y?t=22
pLPYnS_K89Y,24,00:00:24 --> 00:00:30,"туда, вот там луже с буйвалами, сунуть",https://youtu.be/pLPYnS_K89Y?t=24
pLPYnS_K89Y,26,00:00:26 --> 00:00:30,туда рожу и хлебать.,https://youtu.be/pLPYnS_K89Y?t=26
pLPYnS_K89Y,32,00:00:32 --> 00:00:39,"Народ, всем пламенный привет с из",https://youtu.be/pLPYnS_K89Y?t=32
pLPYnS_K89Y,37,00:00:37 --> 00:00:42,Южноафриканской республики. Очень,https://youtu.be/pLPYnS_K89Y?t=37
pLPYnS_K89Y,39,00:00:39 --> 00:00:44,рассистские собаки.,https://youtu.be/pLPYnS_K89Y?t=39
pLPYnS_K89Y,42,00:00:42 --> 00:00:48,"Боря,",https://youtu.be/pLPYnS_K89Y?t=42
pLPYnS_K89Y,44,00:00:44 --> 00:00:48,"извините, всё хорошо.",https://youtu.be/pLPYnS_K89Y?t=44
pLPYnS_K89Y,49,00:00:49 --> 00:00:54,"Обязательно это оставьте, ребят. Мы в",https://youtu.be/pLPYnS_K89Y?t=49
pLPYnS_K89Y,51,00:00:51 --> 00:00:56,"Южноафриканской Республике. А, ну, как",https://youtu.be/pLPYnS_K89Y?t=51
pLPYnS_K89Y,54,00:00:54 --> 00:00:57,"вы уже догадались, со мной рядышком",https://youtu.be/pLPYnS_K89Y?t=54
pLPYnS_K89Y,56,00:00:56 --> 00:00:59,Станислав Владимирович Дробышевский. Мы,https://youtu.be/pLPYnS_K89Y?t=56
pLPYnS_K89Y,57,00:00:57 --> 00:01:02,пишем наш чайный любимый подкаст. Будем,https://youtu.be/pLPYnS_K89Y?t=57
pLPYnS_K89Y,59,00:00:59 --> 00:01:04,пить чай. Будем пить чай. Вот. И,https://youtu.be/pLPYnS_K89Y?t=59
pLPYnS_K89Y,62,00:01:02 --> 00:01:05,"разговаривать обо всяком. Вы человек,",https://youtu.be/pLPYnS_K89Y?t=62
pLPYnS_K89Y,64,00:01:04 --> 00:01:08,который никогда в жизни не пробовал,https://youtu.be/pLPYnS_K89Y?t=64
pLPYnS_K89Y,65,00:01:05 --> 00:01:12,"алкоголь, никаким образом ээ не менял",https://youtu.be/pLPYnS_K89Y?t=65
pLPYnS_K89Y,68,00:01:08 --> 00:01:15,своё сознание. А сигарет тоже не курили?,https://youtu.be/pLPYnS_K89Y?t=68
pLPYnS_K89Y,72,00:01:12 --> 00:01:17,"Как так получилось? Тем более, что вы из",https://youtu.be/pLPYnS_K89Y?t=72
pLPYnS_K89Y,75,00:01:15 --> 00:01:20,"Читы, а в Чите достаточно сурово всё. И",https://youtu.be/pLPYnS_K89Y?t=75
pLPYnS_K89Y,77,00:01:17 --> 00:01:23,"нет-нет, да и хочется как-нибудь вскрыть",https://youtu.be/pLPYnS_K89Y?t=77
pLPYnS_K89Y,80,00:01:20 --> 00:01:25,вот эту вот картинку от себя и запить её,https://youtu.be/pLPYnS_K89Y?t=80
pLPYnS_K89Y,83,00:01:23 --> 00:01:27,"чем-нибудь. А, ну, во-первых, в щете всё",https://youtu.be/pLPYnS_K89Y?t=83
pLPYnS_K89Y,85,00:01:25 --> 00:01:29,"хорошо. Ну, поскольку я там родился и",https://youtu.be/pLPYnS_K89Y?t=85
pLPYnS_K89Y,87,00:01:27 --> 00:01:31,"вырос, замечательный город. Вот я,",https://youtu.be/pLPYnS_K89Y?t=87
pLPYnS_K89Y,89,00:01:29 --> 00:01:34,"конечно, туда стремлюсь не возвращаться,",https://youtu.be/pLPYnS_K89Y?t=89
pLPYnS_K89Y,91,00:01:31 --> 00:01:35,"вот, но город прекрасен. Ну, если сидеть",https://youtu.be/pLPYnS_K89Y?t=91
pLPYnS_K89Y,94,00:01:34 --> 00:01:38,в Москве и издаляться на него смотреть.,https://youtu.be/pLPYnS_K89Y?t=94
pLPYnS_K89Y,95,00:01:35 --> 00:01:42,"Вот, поэтому не возникало никогда",https://youtu.be/pLPYnS_K89Y?t=95
pLPYnS_K89Y,98,00:01:38 --> 00:01:43,"никаких ээ ну так я как бы ээ смотрел,",https://youtu.be/pLPYnS_K89Y?t=98
pLPYnS_K89Y,102,00:01:42 --> 00:01:45,"да, на окружающую действительность и",https://youtu.be/pLPYnS_K89Y?t=102
pLPYnS_K89Y,103,00:01:43 --> 00:01:47,"понял, что мне такого не надо. Ну, то",https://youtu.be/pLPYnS_K89Y?t=103
pLPYnS_K89Y,105,00:01:45 --> 00:01:50,"есть я видел, что никаких положительных",https://youtu.be/pLPYnS_K89Y?t=105
pLPYnS_K89Y,107,00:01:47 --> 00:01:52,моментов в питие или там курении нету,https://youtu.be/pLPYnS_K89Y?t=107
pLPYnS_K89Y,110,00:01:50 --> 00:01:54,"никогда и ни у кого, и ни в каких вообще",https://youtu.be/pLPYnS_K89Y?t=110
pLPYnS_K89Y,112,00:01:52 --> 00:01:56,"вариантах. Зачем оно мне? Ну, то есть",https://youtu.be/pLPYnS_K89Y?t=112
pLPYnS_K89Y,114,00:01:54 --> 00:01:59,ухудшить себя можно.,https://youtu.be/pLPYnS_K89Y?t=114
pLPYnS_K89Y,116,00:01:56 --> 00:02:01,"Да, я могу туда окунуться и не вылезти.",https://youtu.be/pLPYnS_K89Y?t=116
pLPYnS_K89Y,119,00:01:59 --> 00:02:02,Это легко и непринуждённо. Примеров,https://youtu.be/pLPYnS_K89Y?t=119
pLPYnS_K89Y,121,00:02:01 --> 00:02:05,"вокруг там сколько влезет. Видимо, у",https://youtu.be/pLPYnS_K89Y?t=121
pLPYnS_K89Y,122,00:02:02 --> 00:02:07,меня устойчивость ко всяким таким вещам,https://youtu.be/pLPYnS_K89Y?t=122
pLPYnS_K89Y,125,00:02:05 --> 00:02:09,никакая. Ну вот если уж я к кофе очень,https://youtu.be/pLPYnS_K89Y?t=125
pLPYnS_K89Y,127,00:02:07 --> 00:02:11,быстро привыкаю и потом у меня всё время,https://youtu.be/pLPYnS_K89Y?t=127
pLPYnS_K89Y,129,00:02:09 --> 00:02:13,в голове мысли там и не выпить ли кофе.,https://youtu.be/pLPYnS_K89Y?t=129
pLPYnS_K89Y,131,00:02:11 --> 00:02:15,Ну это потом выяснилось уже. Но,https://youtu.be/pLPYnS_K89Y?t=131
pLPYnS_K89Y,133,00:02:13 --> 00:02:17,алкоголь-то он серьёзнее будет. Ну там,https://youtu.be/pLPYnS_K89Y?t=133
pLPYnS_K89Y,135,00:02:15 --> 00:02:19,куриво какое-нибудь. Поэтому я ещё вот,https://youtu.be/pLPYnS_K89Y?t=135
pLPYnS_K89Y,137,00:02:17 --> 00:02:21,"как там в детском возрасте понял, что",https://youtu.be/pLPYnS_K89Y?t=137
pLPYnS_K89Y,139,00:02:19 --> 00:02:23,мне это не надо и не надо. Вот. А насчёт,https://youtu.be/pLPYnS_K89Y?t=139
pLPYnS_K89Y,141,00:02:21 --> 00:02:24,"изменённого сознания, ну, во-первых, что",https://youtu.be/pLPYnS_K89Y?t=141
pLPYnS_K89Y,143,00:02:23 --> 00:02:27,"его менять, оно уж какое есть, такое",https://youtu.be/pLPYnS_K89Y?t=143
pLPYnS_K89Y,144,00:02:24 --> 00:02:30,"есть. А во-вторых, если человек не может",https://youtu.be/pLPYnS_K89Y?t=144
pLPYnS_K89Y,147,00:02:27 --> 00:02:32,"своим сознанием влиять на своё сознание,",https://youtu.be/pLPYnS_K89Y?t=147
pLPYnS_K89Y,150,00:02:30 --> 00:02:34,"ну, гроши цена такому сознанию, а на то",https://youtu.be/pLPYnS_K89Y?t=150
pLPYnS_K89Y,152,00:02:32 --> 00:02:36,"оно и сознание, что хочу так себя веду,",https://youtu.be/pLPYnS_K89Y?t=152
